State,Generated,Rejected,Mobile,Total,RejRate,MobileRate
Andaman and Nicobar Islands,5,2,7,7,0.2857142857142857,1.0
Andhra Pradesh,5798,373,5778,6171,0.06044401231567007,0.9363150218765192
Arunachal Pradesh,913,79,971,992,0.07963709677419355,0.9788306451612904
Assam,3213,28,3103,3241,0.008639308855291577,0.9574205492132059
Bihar,162606,7209,90339,169815,0.042452080204928896,0.5319848069958484
Chandigarh,259,9,244,268,0.033582089552238806,0.9104477611940298
Chhattisgarh,6604,380,5336,6984,0.05441008018327606,0.7640320733104238
Dadra and Nagar Haveli,140,3,122,143,0.02097902097902098,0.8531468531468531
Daman and Diu,105,2,101,107,0.018691588785046728,0.9439252336448598
Delhi,8426,591,8048,9017,0.06554286348009315,0.8925363202839082
Goa,1167,127,1165,1294,0.09814528593508501,0.9003091190108191
Gujarat,34844,2500,22724,37344,0.06694515852613539,0.6085047129391602
Haryana,6804,532,6781,7336,0.07251908396946564,0.9243456924754635
Himachal Pradesh,1547,123,1002,1670,0.07365269461077845,0.6
Jammu and Kashmir,1234,204,1235,1438,0.14186369958275383,0.8588317107093185
Jharkhand,9868,477,5266,10345,0.04610923151280812,0.509038182696955
Karnataka,19764,1445,18336,21209,0.06813145362817671,0.8645386392569192
Kerala,15143,538,14023,15681,0.03430903641349404,0.8942669472610165
Lakshadweep,4,1,5,5,0.2,1.0
Madhya Pradesh,53276,3509,24833,56785,0.061794487980980896,0.4373161926565114
Maharashtra,26085,1818,19704,27903,0.06515428448553919,0.7061606278894742
Manipur,1323,190,1476,1513,0.1255783212161269,0.9755452742894911
Meghalaya,277,2,268,279,0.007168458781362007,0.9605734767025089
Mizoram,6279,185,5327,6464,0.028620049504950496,0.8241027227722773
Nagaland,545,43,579,588,0.07312925170068027,0.9846938775510204
Odisha,18182,1596,10290,19778,0.08069572251997169,0.5202750530892911
Others,12,0,9,12,0.0,0.75
Puducherry,83,10,89,93,0.10752688172043011,0.956989247311828
Punjab,6506,421,4837,6927,0.060776670997545836,0.6982820845965064
Rajasthan,39570,2035,29375,41605,0.0489123903376998,0.7060449465208508
Sikkim,50,2,30,52,0.038461538461538464,0.5769230769230769
Tamil Nadu,32485,1193,29813,33678,0.03542371874814419,0.8852366530078983
Telangana,5018,274,4826,5292,0.051776266061980346,0.9119425547996977
Tripura,908,62,730,970,0.06391752577319587,0.7525773195876289
Uttar Pradesh,103767,5286,77002,109053,0.04847184396577811,0.7060970353864635
Uttarakhand,13227,955,10836,14182,0.06733888027076576,0.7640671273445212
West Bengal,119901,6372,60230,126273,0.05046209403435414,0.476982411125102
